feature,short,lasso,ridge,en,rf,abs_avg,rf_norm
Total_Production_Value_Per_Capita,Production Value,-0.014017885276025759,-0.02972104398855784,-0.020549962047068847,0.00046595851178547184,0.02142963043721748,0.00047012532891958477
Human capital index,Human Capital,0.01987900943172059,0.02671768313814547,0.026347030113084577,0.0005021236504487891,0.02431457422765021,0.00050661387302701
Rule of law index,Rule of Law,0.011521772600894575,0.010403938524180622,0.012325707562908477,0.0005667324837654764,0.011417139562661225,0.0005718004684982021
Political stability — estimate,Political Stability,0.019332163982924026,0.0233125863090601,0.022110949308403665,0.0002975903332993489,0.021585233200129266,0.00030025152408860316
Trade (% of GDP),Trade,0.0,0.005230043481206375,0.0,2.4885050836389483e-05,0.0017433478270687918,2.5107584503198167e-05
"Gross fixed capital formation, all, Constant prices, Percent of GDP",Capital Formation,0.0,0.003810657142754563,0.0,5.893683537807083e-05,0.0012702190475848542,5.9463875896212077e-05
Share of investment in GDP,Investment Share,0.0,0.005665233588427764,0.0,0.000586813354509135,0.001888411196142588,0.0005920609117019966
Domestic credit to private sector (% of GDP),Domestic Credit,0.02672158572258119,0.025698904290813562,0.029249360086749252,0.0023215402741454927,0.02722328336671467,0.002342300564057948
Landlocked,Landlocked,0.0,0.0012118302785143074,0.0,0.0,0.0004039434261714358,0.0
Urban population (% of total population),Urban Population,0.010002100490895992,0.026676916625789603,0.016372229292307274,4.932403624028503e-05,0.017683748802997622,4.976511464991015e-05
Government revenue,Gov Revenue,0.0,-2.5299944909924495e-06,0.0,2.8267688391223052e-05,8.433314969974832e-07,2.8520471171988183e-05
Capital depreciation rate,Depreciation,-0.002667208068440029,-0.010140777307187071,-0.005533408890407223,0.00011412581460347232,0.0061137980886781075,0.00011514638057170016
"Use of IMF credit (DOD, current US$)",IMF Credit,-0.0,-0.0123448717295978,-0.0048180551883398245,0.00011822041998424069,0.005720975639312541,0.0001192776018129507
Real interest rate (%),Real Rate,0.0,-0.0025638717833676044,0.0,8.726442817027435e-05,0.0008546239277892015,8.804478716211926e-05
"Inflation, consumer prices (annual %)",Inflation,-0.0020079304056361204,-0.012206093308693145,-0.0045186925285756185,8.211405544252085e-05,0.006244238747634961,8.28483574125789e-05
Access to electricity (% of population),Electricity,0.030230168866667597,0.05515666737798527,0.038991373873385235,0.0009514468441399027,0.041459403372679365,0.0009599551231220132
Adjusted savings: gross savings (% of GNI),Gross Savings,-0.0053729156980136155,-0.020374773403612836,-0.009416748640047769,0.00018420003497944467,0.01172147924722474,0.0001858472371282272
L1_ECI,Lagged ECI,0.7241718094716001,0.7051253195800229,0.7072026018571943,0.9911367950666283,0.7121665769696057,0.999999999998991
Forestry rents (% of GDP),Forestry rents (% GDP),0.0,0.00812182342987689,0.0,0.0002863043678550653,0.00270727447662563,0.00028886463430663966
HCI_x_ProductionValue,HC × Production,0.0018057150688990655,0.014846978774174855,0.0072969275344428285,0.001970881731099872,0.007983207125838917,0.001988506269677328
GFCF_x_ProductionValue,GFCF × Production,0.0,0.0001375817824068899,0.0,0.00016647501829721793,4.586059413562997e-05,0.00016796371512557844
